reason,channel,status,user_id,created_date
METAL_RESERVE_PLAN,SMS,SENT,user_9590,2018-10-15 11:21:21.500828+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8463,2018-10-15 07:13:42.519351+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9001,2018-10-17 07:33:19.576317+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2045,2018-10-17 12:08:24.450576+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9536,2018-10-17 13:10:42.300363+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6705,2018-10-18 06:57:09.833529+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_3300,2018-10-17 05:29:35.832923+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1010,2018-10-17 13:17:59.661970+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_3365,2018-10-21 10:24:30.224584+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1960,2018-10-17 14:41:11.334481+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1960,2018-10-14 14:41:21.921481+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_7129,2018-10-14 19:57:16.426526+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1115,2018-10-14 09:40:42.539647+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2045,2018-10-14 12:13:31.778576+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1309,2018-10-15 20:20:16.192885+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_120,2018-10-14 12:33:50.459589+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1739,2018-10-14 06:33:51.932086+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_5124,2018-10-14 21:41:59.381435+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_3300,2018-10-14 05:32:58.596923+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_7758,2018-10-15 06:21:26.107960+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6991,2018-10-14 21:39:56.658107+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4695,2018-10-14 01:51:16.572987+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6299,2018-10-14 20:40:02.767243+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4856,2018-10-15 17:11:09.347085+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6212,2018-10-16 11:07:06.673838+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9552,2018-10-14 23:12:19.493678+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2720,2018-10-14 19:30:34.288652+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8747,2018-10-14 19:53:47.287989+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9526,2018-10-14 19:20:38.347817+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_3773,2018-10-14 00:30:26.843116+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2522,2018-10-14 15:55:09.449001+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_7802,2018-10-14 18:14:25.013906+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2760,2018-10-14 23:41:13.150695+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8511,2018-10-15 17:52:58.538547+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2227,2018-10-14 18:51:40.425701+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2920,2018-10-14 14:09:53.496452+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6126,2018-10-14 07:26:51.617374+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4074,2018-10-14 10:26:31.316334+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6261,2018-10-15 15:06:14.393995+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_5887,2018-10-14 04:30:39.336086+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2851,2018-10-14 05:05:56.370925+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2557,2018-10-11 20:25:58.232537+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_189,2018-10-11 16:58:00.587800+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_5983,2018-10-11 08:33:53.481754+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9404,2018-10-11 07:46:16.521757+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9404,2018-10-14 07:50:14.251757+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8885,2018-10-14 07:36:51.147707+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_5295,2018-10-14 12:28:36.671110+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6002,2018-10-14 19:42:37.725199+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8665,2018-10-10 07:45:19.042096+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6261,2018-10-11 17:51:10.445995+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_5887,2018-10-10 07:15:35.409086+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1638,2018-10-10 11:06:28.855600+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8450,2018-10-10 10:16:39.452396+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1224,2018-10-10 13:45:25.810011+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_3985,2018-10-11 07:43:24.799082+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_5150,2018-10-10 12:32:47.316175+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2861,2018-10-10 21:00:59.864923+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_5917,2018-10-10 16:51:03.357262+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2411,2018-10-10 06:24:12.898392+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8678,2018-10-10 09:57:38.743506+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2920,2018-10-10 16:54:28.943452+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6126,2018-10-10 10:11:42.569374+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9808,2018-10-11 11:45:57.395572+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8778,2018-10-10 13:33:08.037219+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_716,2018-10-11 03:25:14.878614+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4074,2018-10-10 13:11:29.235334+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_643,2018-10-20 17:04:45.088753+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4427,2018-10-20 18:32:28.273922+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_3976,2018-10-20 21:54:19.240301+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2593,2018-10-21 02:21:34.245127+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1784,2018-10-21 00:57:54.055648+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8728,2018-10-20 09:32:21.277676+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9658,2018-10-21 00:41:32.314690+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_259,2018-10-20 07:39:26.785276+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2423,2018-10-20 13:40:39.988634+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8085,2018-10-20 22:51:53.118016+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1224,2018-10-20 10:44:20.015011+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_7658,2018-10-23 01:49:28.700316+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4613,2018-10-20 14:04:44.465040+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6002,2018-10-20 19:43:26.232199+00:00
